Date,Amount,Category,Description
1/1/2025,57.45,Bills,Water bill
1/2/2025,47.93,Food,Groceries at Walmart
1/3/2025,59.72,Shopping,New clothes
1/4/2025,72.85,Transport,Taxi ride
1/5/2025,46.49,Food,Groceries at Walmart
1/6/2025,46.49,Food,Groceries at Walmart
1/7/2025,73.69,Travel,Rental car
1/8/2025,61.51,Shopping,Phone accessories
1/9/2025,42.96,Food,Groceries at Walmart
1/10/2025,58.14,Travel,Flight to NYC
1/11/2025,43.05,Entertainment,Concert ticket
1/12/2025,43.01,Transport,Bus fare
1/13/2025,53.63,Entertainment,Concert ticket
1/14/2025,21.3,Bills,Water bill
1/15/2025,24.13,Transport,Taxi ride
1/16/2025,41.57,Travel,Rental car
1/17/2025,34.81,Entertainment,Concert ticket
1/18/2025,54.71,Food,Groceries at Walmart
1/19/2025,36.38,Entertainment,Streaming subscription
1/20/2025,28.82,Entertainment,Streaming subscription
1/21/2025,71.98,Transport,Taxi ride
1/22/2025,46.61,Bills,Water bill
1/23/2025,51.01,Transport,Taxi ride
1/24/2025,500,Entertainment,Streaming subscription
1/25/2025,41.83,Transport,Taxi ride
1/26/2025,51.66,Entertainment,Movie night
1/27/2025,32.74,Entertainment,Streaming subscription
1/28/2025,55.64,Bills,Electricity Bill
1/29/2025,40.99,Transport,Subway ticket
1/30/2025,45.62,Travel,Hotel booking
1/31/2025,40.97,Bills,Internet bill
2/1/2025,77.78,Travel,Rental car
2/2/2025,49.8,Bills,Water bill
2/3/2025,34.13,Travel,Hotel booking
2/4/2025,62.34,Bills,Water bill
2/5/2025,31.69,Bills,Water bill
2/6/2025,53.13,Shopping,Phone accessories
2/7/2025,20.6,Food,Groceries at Walmart
2/8/2025,30.08,Shopping,Phone accessories
2/9/2025,52.95,Travel,Rental car
2/10/2025,61.08,Bills,Internet bill
2/11/2025,52.57,Food,Restaurant dinner
2/12/2025,48.27,Travel,Rental car
2/13/2025,45.48,Shopping,Phone accessories
2/14/2025,27.82,Entertainment,Movie night
2/15/2025,500,Food,Groceries at Kroger
2/16/2025,43.09,Entertainment,Streaming subscription
2/17/2025,65.86,Bills,Water bill
2/18/2025,55.15,Travel,Rental car
2/19/2025,23.55,Shopping,Phone accessories
2/20/2025,54.86,Shopping,Online order
2/21/2025,44.22,Entertainment,Streaming subscription
2/22/2025,39.85,Travel,Hotel booking
2/23/2025,59.18,Food,Groceries at Kroger
2/24/2025,65.46,Transport,Bus fare
2/25/2025,63.97,Food,Restaurant dinner
2/26/2025,37.41,Entertainment,Movie night
2/27/2025,45.36,Food,Restaurant dinner
2/28/2025,54.97,Bills,Electricity Bill
3/1/2025,64.63,Entertainment,Concert ticket
3/2/2025,42.81,Travel,Flight to NYC
3/3/2025,47.22,Food,Groceries at Walmart
3/4/2025,33.4,Food,Groceries at Walmart
3/5/2025,32.06,Bills,Water bill
3/6/2025,62.19,Travel,Hotel booking
3/7/2025,70.34,Bills,Electricity Bill
3/8/2025,48.92,Food,Restaurant dinner
3/9/2025,65.05,Transport,Bus fare
3/10/2025,55.42,Entertainment,Movie night
3/11/2025,40.32,Travel,Rental car
3/12/2025,55.42,Food,Groceries at Walmart
3/13/2025,73.07,Bills,Electricity Bill
3/14/2025,49.46,Travel,Flight to NYC
3/15/2025,73.47,Bills,Electricity Bill
3/16/2025,10.7,Shopping,Online order
3/17/2025,62.33,Bills,Electricity Bill
3/18/2025,51.31,Entertainment,Streaming subscription
3/19/2025,300,Bills,Internet bill
3/20/2025,51.38,Travel,Hotel booking
3/21/2025,20.19,Food,Groceries at Walmart
3/22/2025,46.7,Travel,Rental car
3/23/2025,55.36,Shopping,Online order
3/24/2025,72.17,Shopping,Online order
3/25/2025,42.23,Shopping,Phone accessories
3/26/2025,37.87,Food,Groceries at Kroger
3/27/2025,42.47,Shopping,New clothes
3/28/2025,63.73,Bills,Internet bill
3/29/2025,54.93,Transport,Subway ticket
3/30/2025,42.05,Food,Restaurant dinner
3/31/2025,57.7,Entertainment,Streaming subscription
4/1/2025,51.46,Food,Restaurant dinner
4/2/2025,64.53,Entertainment,Movie night
4/3/2025,39.47,Transport,Bus fare
4/4/2025,45.09,Shopping,Phone accessories
4/5/2025,44.12,Entertainment,Streaming subscription
4/6/2025,28.05,Entertainment,Concert ticket
4/7/2025,54.44,Food,Groceries at Walmart
4/8/2025,53.92,Transport,Taxi ride
4/9/2025,50.08,Bills,Internet bill
4/10/2025,46.48,Entertainment,Concert ticket
